2023-11-15 13:03:36.104067; DS18B20_0: 23.125; DS18B20_1: 22.562
2023-11-15 13:03:37.704915; DS18B20_0: 23.125; DS18B20_1: 22.625
2023-11-15 13:03:39.304936; DS18B20_0: 23.125; DS18B20_1: 22.625
2023-11-15 13:03:40.904519; DS18B20_0: 23.125; DS18B20_1: 22.625
2023-11-15 13:03:42.568944; DS18B20_0: 23.062; DS18B20_1: 22.625
2023-11-15 13:03:44.168915; DS18B20_0: 23.125; DS18B20_1: 22.625
2023-11-15 13:03:45.768396; DS18B20_0: 23.125; DS18B20_1: 22.625
2023-11-15 13:03:47.369121; DS18B20_0: 23.125; DS18B20_1: 22.625
2023-11-15 13:03:48.968901; DS18B20_0: 23.125; DS18B20_1: 22.562
2023-11-15 13:03:50.568821; DS18B20_0: 23.062; DS18B20_1: 22.75
2023-11-15 13:03:52.233131; DS18B20_0: 23.062; DS18B20_1: 22.625
2023-11-15 13:03:53.832893; DS18B20_0: 23.125; DS18B20_1: 22.625
2023-11-15 13:03:55.432920; DS18B20_0: 23.062; DS18B20_1: 22.625
2023-11-15 13:03:57.032968; DS18B20_0: 22.875; DS18B20_1: 22.562
2023-11-15 13:03:58.632882; DS18B20_0: 23.125; DS18B20_1: 22.562

